layout,Triton
"vector:1->(32);bank:1->(2),2->(4),4->(8),8->(16),16->(64);segment:1->(65);outdims:dim0->128;reps:0",1553.637739
"vector:1->(32);bank:1->(2),2->(4),4->(8),8->(64),16->(16);segment:1->(65);outdims:dim0->128;reps:0",1550.192504
"vector:1->(32);bank:1->(2),2->(4),4->(16),8->(8),16->(64);segment:1->(65);outdims:dim0->128;reps:0",1551.913120
"vector:1->(32);bank:1->(2),2->(4),4->(16),8->(64),16->(8);segment:1->(65);outdims:dim0->128;reps:0",1550.192504
"vector:1->(32);bank:1->(2),2->(4),4->(64),8->(8),16->(16);segment:1->(65);outdims:dim0->128;reps:0",1552.774951
"vector:1->(32);bank:1->(2),2->(4),4->(64),8->(16),16->(8);segment:1->(65);outdims:dim0->128;reps:0",1552.966638
"vector:1->(32);bank:1->(2),2->(8),4->(4),8->(16),16->(64);segment:1->(65);outdims:dim0->128;reps:0",1550.956811
"vector:1->(32);bank:1->(2),2->(8),4->(4),8->(64),16->(16);segment:1->(65);outdims:dim0->128;reps:0",1553.445886
"vector:1->(32);bank:1->(2),2->(8),4->(16),8->(4),16->(64);segment:1->(65);outdims:dim0->128;reps:0",1551.626175
"vector:1->(32);bank:1->(2),2->(8),4->(16),8->(64),16->(4);segment:1->(65);outdims:dim0->128;reps:0",1552.679125
